article,content,candidate,definition,score,type
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",here we go again,(idiomatic) An expression of frustration upon seeing or hearing something bad repeated.,26.253231,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",take the law into one's own hands,"(intransitive, idiomatic) To punish someone according to one's own idea of justice and without consideration for the role of law enforcement authorities.",18.672718,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",when all is said and done,(idiomatic) in the end; ultimately,18.237238,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",keep one's options open,"(idiomatic) To not commit to a decision, to keep various options available.",17.324686,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",easier said than done,"(idiomatic) Easy to propose, but difficult to accomplish.",15.206909,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",easier said than done,"(idiomatic) Easy to propose, but difficult to accomplish.",20.275879,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",when all is said and done,(idiomatic) in the end; ultimately,20.275879,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",take the law into one's own hands,"(intransitive, idiomatic) To punish someone according to one's own idea of justice and without consideration for the role of law enforcement authorities.",19.582462,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",go from strength to strength,(idiomatic) To continue to get stronger,18.718452,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",have one's cake and eat it too,(idiomatic) To seek to have two things which are mutually incompatible (such as eating a piece of cake and yet still possessing that piece for future use).,17.554928,idiom
