idiom,definition
Catch-22,(idiomatic) A difficult situation from which there is no escape because it involves mutually conflicting or dependent conditions.
Christmas present,"Used other than with a figurative or idiomatic meaning: see Christmas,‎ present."
Downing Street,"a street leading off Whitehall in Westminster, London containing the residences of the Prime Minister and the Chancellor of the Exchequer (idiomatic, by extension) the British government"
Dutch courage,"(idiomatic) The courage or bravado induced by alcohol. (idiomatic) An alcoholic drink, taken to bolster one's courage."
Dutch oven,"A large metal cooking pot with a tight-fitting lid. A portable oven consisting of a metal box, with shelves, placed before an open fire. (rail transport) A protective cover for electrical contacts on a railway coupler, particularly but not exclusively used on the London Underground. (slang) The situation where a person breaks wind under the bedcovers, sometimes pulling them over a bedmate's head as a prank. A room or vehicle full of marijuana smoke. The very end of a Dutch Masters cigar that has been rerolled with marijuana. This usage of the term is said to originate in New Brunswick, New Jersey. Used other than with a figurative or idiomatic meaning: see Dutch,‎ oven."
Elysian Fields,"(Classical mythology) Elysium; home of the blessed, after death. (idiomatic) A place or state of ideal happiness; paradise."
Evel Knievel,(idiomatic) A daredevil. (idiomatic) A reckless showboating driver.
Faustian bargain,"(idiomatic) An agreement in which a person abandons his or her spiritual values or moral principles in order to obtain knowledge, wealth or other benefits. (idiomatic) A deal in which one focuses on present gain without considering the long-term consequences."
Gary Glitter,"(Britain, vulgar, slang, idiomatic) The anus, especially when used in anal sex."
God forbid,"(idiomatic, subjunctive) indicating that the eventuality is both unlikely and undesirable"
God's work,"Work in accordance with the will of God. Work that accomplishes good. (idiomatic) Work that is very important and necessary, especially that which receives little or no recognition or pay."
I can tell you,"(idiomatic) Emphasises the truth of a statement. Used other than with a figurative or idiomatic meaning: see I,‎ can,‎ tell,‎ you."
I do,"A traditional phrase said upon acceptance of marriage. Used other than with a figurative or idiomatic meaning: see I,‎ do."
I never did,"(idiomatic, dated) An exclamation of great surprise."
I rest my case,(law) My argument is proven; I conclude my statement. (idiomatic) The previous encapsulates my view.
I take it,(idiomatic) Used to express one's understanding of another's position.
I wish,"(idiomatic, colloquial) Used to express the speaker's wish that the preceding statement were true"
I would,"(slang, idiomatic) Used to denote that the speaker finds another person sexually attractive."
I'd say,(idiomatic) It is my estimate or opinion.
I'll be,(idiomatic) Expressing surprise.
I'll be damned,(idiomatic) An expression of surprise.
I'll say,"(idiomatic, colloquial) Used to indicate emphatic agreement"
Jane Doe,(idiomatic) An unknown or anonymous female; female equivalent of John Doe.
Joe Public,"(idiomatic) A hypothetical average or generic member of the public; the common man (or person, by extension)."
John Doe,A fictitious name used in legal documents for an unknown or anonymous male person.
John Hancock,"(idiomatic, US) A person's signature."
John Henry,(idiomatic) One's signature.
John Thomas,"(idiomatic, slang) The penis."
Johnny-come-lately,(idiomatic) A newcomer; a novice; an upstart.
Last Supper,(Christianity) The Passover meal that Jesus ate with his disciples on the night before his death.
Lord's Supper,(Christianity) Eucharist (Christianity) The Last Supper at Passover of Jesus with his disciples.
