article,content,candidate,definition,distance,type
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",take the law into one's own hands,"(intransitive, idiomatic) To punish someone according to one's own idea of justice and without consideration for the role of law enforcement authorities.",0.8829,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",give someone a hard time,"(idiomatic, informal) To cause difficulty or make trouble for someone. (idiomatic, informal) To tease, kid or rib someone.",0.8837,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",pot calling the kettle black,(idiomatic) A situation in which somebody comments on or accuses someone else of a fault which the accuser shares.,0.887,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret.",0.8968,idiom
Someone tried to sell a baby on eBay for $5K,"German authorities are investigating claims that a    baby was being hawked on eBay for about $5, 505, according to a report. The   tot  —   who lives in the west German city of Duisburg  —   was seen in photos on the auction site clad in various onesies under the heading: “Child, 40 days old named Maria  …     for sale,” But the heartbreaking ad was removed by eBay within an hour after viewers posted angry messages condemning it and reporting it to the site. Pierre Du Bois, an eBay spokesman, said the site informed the police as soon as it became aware of the matter. “We received a lot of complaints from users and we immediately pursued the matter. “In such a case, we provide the authorities with all available information,” Du Bois said. He added that it wasn’t clear whether the ad was real or a hoax, noting that eBay has had its fair share of fraudsters in the past. “We immediately ban these providers,” Du Bois said. “We have specially trained teams which keep track on such cases and quickly react. ”",find it in one's heart,"(idiomatic) To feel compassionate, especially in order to forgive someone or to be willing to help them in some way.",0.8982,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",take the law into one's own hands,"(intransitive, idiomatic) To punish someone according to one's own idea of justice and without consideration for the role of law enforcement authorities.",0.8247,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",pot calling the kettle black,(idiomatic) A situation in which somebody comments on or accuses someone else of a fault which the accuser shares.,0.8675,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",see the forest for the trees,"(idiomatic) To discern an overall pattern from a mass of detail; to see the big picture, or the broader, more general situation. (idiomatic, in the negative, by extension) To be overwhelmed by detail to the point where it obscures the overall situation.",0.9044,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",keep up with the Joneses,"(idiomatic) To act or make purchases for status or image rather than out of need, especially for the purpose of competing with friends, neighbors, or society.",0.9091,idiom
Florist busted for stealing flowers off graves,"A New Jersey florist channeled her inner dirt bag, by snatching flowers from the tops of graves at a local cemetery, cops said Friday. Lynda S. Wingate, 59, of Riverdale was caught on camera swiping the green goodies from First Reformed Church Cemetery in Pompton Plains, according to the Pequannock Township police. In the footage, the petal pilferer is seen lifting the heartfelt gifts from a grave and an area in front of a mausoleum on April 23, the police department said in a press release. Dozens of flowers have gone missing from the boneyard since February, so property managers installed the camera on April 21, according to NewJersey. com. Two days later, the   bandit was caught on camera loading at least two plants into a silver minivan and bolting, police said. Wingate, who owns Lyncrafts & Floral Designs in Riverdale, was charged with theft of removable property, and released. Police haven’t said yet how many total plants she stole. They have no evidence that she was reselling the flowers,  .",get a rise out of,"(chiefly US, transitive, idiomatic) To obtain a reaction from someone, especially one of annoyance.",0.915,idiom
